amount,category
1000,food
2000,toiletery
3000,hobbies
4000,food
5000,food
6000,food
7000,transport
2000,food
1000,beer
5000,presents
10000,adhoc
4000,food
25000,rent
4000,utils
3500,food
1800,beer
2200,toiletery
8000,transport
12000,adhoc
4500,food
2700,hobbies
3000,utils
5200,presents
1500,food
9000,transport
1100,beer
2600,toiletery
3800,food
4700,hobbies
6000,utils
13000,adhoc
24000,rent
2100,food
3300,presents
1750,beer
2900,toiletery
4100,food
5600,hobbies
7200,transport
3100,utils
4800,food
1400,beer
9500,adhoc
25500,rent
3700,presents
2300,toiletery
5100,food
6800,transport
4200,utils
